"",Name,2020 Total Population By State 16 years and over,2020 Male Employment/Population Ratio 20 to 64 years,2020 Female Employment/Population Ratio 20 to 64 years
0,Alabama,3926842,72.4,63.3
1,Alaska,572684,69.6,68.8
2,Arizona,5720956,75.8,66.8
3,Arkansas,2388169,72.3,65.6
4,California,31403964,77.4,67.1
5,Colorado,4568027,80.4,72.8
6,Connecticut,2927839,79.0,73.4
7,Delaware,787102,76.3,70.7
8,District of Columbia,586181,75.9,75.4
9,Florida,17486583,75.9,68.4
10,Georgia,8296817,75.8,68.2
11,Hawaii,1148836,72.7,72.6
12,Idaho,1360062,79.9,68.4
13,Illinois,10193604,78.8,71.5
14,Indiana,5306367,78.6,70.6
15,Iowa,2504540,82.7,76.6
16,Kansas,2285921,80.3,73.7
17,Kentucky,3567512,72.1,65.6
18,Louisiana,3688107,70.1,64.6
19,Maine,1120778,78.3,74.2
20,Maryland,4846076,79.8,74.3
21,Massachusetts,5678025,80.3,75.2
22,Michigan,8070619,75.7,68.8
23,Minnesota,4444556,83.6,78.9
24,Mississippi,2357026,68.5,63.7
25,Missouri,4903578,77.2,71.3
26,Montana,859185,78.9,72.7
27,Nebraska,1500813,84.2,77.7
28,Nevada,2419552,77.2,67.6
29,New Hampshire,1130008,82.4,76.3
30,New Jersey,7161184,80.3,71.8
31,New Mexico,1672029,69.5,64.2
32,New York,15908940,76.8,70.3
33,North Carolina,8352255,75.2,68.4
34,North Dakota,599849,83.1,78.0
35,Ohio,9385593,77.4,71.0
36,Oklahoma,3097358,74.6,66.2
37,Oregon,3408422,77.8,70.0
38,Pennsylvania,10456049,77.6,71.5
39,Rhode Island,878121,77.7,73.3
40,South Carolina,4111745,74.5,67.6
41,South Dakota,686885,81.7,77.2
42,Tennessee,5437242,75.5,67.1
43,Texas,22078090,79.0,66.9
44,Utah,2325169,85.0,69.7
45,Vermont,523065,78.7,77.1
46,Virginia,6849454,77.1,71.4
47,Washington,6038812,78.5,69.7
48,West Virginia,1485332,68.0,61.5
49,Wisconsin,4682533,81.2,76.7
50,Wyoming,461417,80.8,71.7
51,Puerto Rico,2728839,56.3,46.9
