US States,2021 Total Population By State 16 years and over,2021 Male Employment/Population Ratio 20 to 64 years,2021 Female Employment/Population Ratio 20 to 64 years
Alabama,4046627,72.3,64.2
Alaska,571832,68.7,67.2
Arizona,5852913,76.4,67.4
Arkansas,2405035,73.3,67.1
California,31507237,75.4,65.9
Colorado,4720626,80.1,73.1
Connecticut,2971314,78,73.2
Delaware,819868,73.4,70.9
District of Columbia,553437,74.9,74.9
Florida,18010659,75.9,68.5
Georgia,8575918,74.9,68.4
Hawaii,1166220,68,68.9
Idaho,1484932,80.6,69.7
Illinois,10203044,77.1,70.4
Indiana,5401077,78.6,70.5
Iowa,2543525,82.4,76.1
Kansas,2315379,79.1,73.5
Kentucky,3612858,71.5,65.9
Louisiana,3663069,67.8,64.6
Maine,1155699,76.7,72.4
Maryland,4964751,78.4,72.9
Massachusetts,5790261,79.2,74.4
Michigan,8156411,75.2,67.5
Minnesota,4554126,82.4,77.9
Mississippi,2340485,68.1,64.1
Missouri,4949628,77.3,71.5
Montana,895986,77,71.8
Nebraska,1534896,84.3,77.7
Nevada,2526328,73.2,65.9
New Hampshire,1164253,82.7,74.6
New Jersey,7489289,78.1,70.5
New Mexico,1700082,68.5,63.1
New York,16210453,73.3,68.9
North Carolina,8524268,74.7,68.3
North Dakota,610714,81.1,75.6
Ohio,9480334,76.9,70.8
Oklahoma,3140799,73.1,67.1
Oregon,3487919,76.1,69
Pennsylvania,10602171,76.4,70.9
Rhode Island,913136,76.7,72
South Carolina,4207365,74.2,66.9
South Dakota,699893,81.3,78
Tennessee,5616708,76.1,66.9
Texas,22934023,78.1,66.6
Utah,2507029,85,69.3
Vermont,542827,78.1,77.1
Virginia,6980718,76.7,71.2
Washington,6250868,76.5,68.8
West Virginia,1465755,66.5,61.7
Wisconsin,4773326,80.8,75.6
Wyoming,461622,81.9,72.7
Puerto Rico,2794959,57.3,51.3
