SUMLEV,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,TOTAL POPESTIMATE,TOTAL NPOPCHG,TOTAL PPOPCHG
10,United States,331511512,332031554,333287557,61992,520042,1256003,0.018703301,0.156869967,0.378278204,996830623,1838037,0.553851472
20,Northeast Region,57448898,57259257,57040406,-160258,-189641,-218851,-0.278181475,-0.330103808,-0.382210688,171748561,-568750,-0.990495971
30,New England,15074473,15121745,15129548,-41733,47272,7803,-0.276081181,0.313589735,0.051601188,45325766,13342,0.089109742
30,Middle Atlantic,42374425,42137512,41910858,-118525,-236913,-226654,-0.278928622,-0.559094312,-0.537891274,126422795,-582092,-1.375914208
20,Midwest Region,68961043,68836505,68787595,-24494,-124538,-48910,-0.035505993,-0.180591816,-0.071052416,206585143,-197942,-0.287150225
30,East North Central,47338744,47181948,47097779,-29893,-156796,-84169,-0.063107157,-0.331221293,-0.17839238,141618471,-270858,-0.57272083
30,West North Central,21622299,21654557,21689816,5399,32258,35259,0.024975829,0.149188576,0.16282485,64966672,72916,0.336989255
20,South Region,126450613,127346029,128716192,184351,895416,1370163,0.146001788,0.708115191,1.075936965,382512834,2449930,1.930053944
30,South Atlantic,66164801,66666348,67452940,74940,501547,786592,0.113391069,0.758026915,1.17989364,200284089,1363079,2.051311624
30,East South Central,19422567,19474372,19578002,20244,51805,103630,0.104338022,0.266725814,0.53213526,58474941,175679,0.903199096
30,West South Central,40863245,41205309,41685250,89167,342064,479941,0.218685509,0.837094558,1.16475525,123753804,911172,2.220535317
20,West Region,78650958,78589763,78743364,62393,-61195,153601,0.079391957,-0.077805791,0.195446575,235984085,154799,0.197032741
30,Mountain,24996513,25268390,25514320,77382,271877,245930,0.310532498,1.087659707,0.973271348,75779223,595189,2.371463553
30,Pacific,53654445,53321373,53229044,-14989,-333072,-92329,-0.027928374,-0.620772426,-0.173155706,160204862,-440390,-0.821856506
40,Alabama,5031362,5049846,5074296,7006,18484,24450,0.139440756,0.367375673,0.484173181,15155504,49940,0.99098961
40,Alaska,732923,734182,733583,-455,1259,-599,-0.062041676,0.171777936,-0.081587399,2200688,205,0.028148861
40,Arizona,7179943,7264877,7359197,28436,84934,94320,0.397622487,1.182934182,1.298301403,21804017,207690,2.878858072
40,Arkansas,3014195,3028122,3045637,2640,13927,17515,0.087662354,0.462047081,0.578411306,9087954,34082,1.128120741
40,California,39501653,39142991,39029342,-36592,-358662,-113649,-0.092548367,-0.907967067,-0.290343168,117673986,-508903,-1.290858602
40,Colorado,5784865,5811297,5839926,11132,26432,28629,0.192804205,0.456916454,0.492643897,17436088,66193,1.142364556
40,Connecticut,3597362,3623355,3626205,-8580,25993,2850,-0.237940599,0.722557252,0.078656383,10846922,20263,0.563273036
40,Delaware,992114,1004807,1018396,2157,12693,13589,0.217888252,1.279389264,1.352399018,3015317,28439,2.849676534
40,District of Columbia,670868,668791,671803,-18678,-2077,3012,-2.708738793,-0.309598908,0.450364912,2011462,-17743,-2.567972789
40,Florida,21589602,21828069,22244823,51376,238467,416754,0.238534037,1.104545605,1.909257296,65662494,706597,3.252336938
40,Georgia,10729828,10788029,10912876,17891,58201,124847,0.16701928,0.542422488,1.157273493,32430733,200939,1.866715261
