NAME,Households Total Income,"Households with Income under $10,000","Households with Income of $200,000 or more"
Alabama,1967559,7.7,5.2
Alaska,271311,5.4,10.2
Arizona,2817723,5.6,8.1
Arkansas,1183675,7.6,4.7
California,13429063,5.3,15.5
Colorado,2313042,4.8,12
Connecticut,1428313,5.2,14.6
Delaware,395656,5.2,8.3
District of Columbia,319565,9.6,21.6
Florida,8565329,6.3,7.8
Georgia,4001109,6.3,8.4
Hawaii,490080,5.4,13.3
Idaho,693882,4.5,6.5
Illinois,4991641,6.4,10.1
Indiana,2680694,5.7,5.7
Iowa,1300467,4.9,6.2
Kansas,1159026,5.7,6.5
Kentucky,1785682,8.1,5.2
Louisiana,1783924,9.2,5.7
Maine,593626,5.4,6.7
Maryland,2355652,5.2,15.1
Massachusetts,2759018,5.4,17.1
Michigan,4051798,6.3,6.7
Minnesota,2281033,4.2,9.9
Mississippi,1129611,9.3,3.5
Missouri,2468726,5.9,6.4
Montana,448949,5.2,6.9
Nebraska,785982,5.2,6.8
Nevada,1191380,7.2,7.5
New Hampshire,548026,3.1,11.3
New Jersey,3497945,4.9,16.7
New Mexico,834007,9,5.8
New York,7652666,7,12.9
North Carolina,4179632,6.4,7.4
North Dakota,322511,5.6,6
Ohio,4832922,6.6,6.5
Oklahoma,1547967,6.8,5
Oregon,1702599,5.3,9
Pennsylvania,5228956,5.9,8.7
Rhode Island,440170,5.8,10.3
South Carolina,2049972,7.1,6
South Dakota,356887,4.8,5.7
Tennessee,2770395,6.6,6.3
Texas,10796247,6.1,8.9
Utah,1101499,4.3,9.8
Vermont,270163,4.1,8.7
Virginia,3331461,5,13.4
Washington,3022255,4.8,14
West Virginia,722201,8.4,4.4
Wisconsin,2449970,4.8,6.6
Wyoming,242763,6,5.8
Puerto Rico,1165982,24.6,1.4
