Name,Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 29 years,Total population 30 to 34 years,Total population 35 to 39 years,Total population 40 to 44 years,Total population 45 to 49 years,Total population 50 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 69 years,Total population 70 to 74 years,Total population 75 to 79 years,Total population 80 to 84 years,Total population 85 years and over,Total Male Population,Total Female Population
Alabama,293932,294776,315204,321308,323960,334650,307217,301404,293852,308836,316996,331903,321714,273648,217393,145827,101941,88625,2365734,2527452
Alaska,52302,52825,49395,46257,52775,61328,57278,51647,42647,43836,45215,49124,44732,35771,23573,12932,8472,6881,384653,352337
Arizona,431224,444859,482609,478165,491151,513314,473473,452699,429416,429475,421470,436015,427990,399549,330049,240633,151588,140385,3564979,3609085
Arkansas,188445,194331,200291,200952,201132,203558,191234,189573,181798,182188,184295,195694,188265,167043,129863,94430,59158,59623,1478511,1533362
California,2409082,2431647,2597443,2548072,2694636,3084036,2923877,2710180,2523723,2537197,2501958,2485487,2254188,1865387,1404993,951622,657751,764744,19562882,19783141
Colorado,330939,348555,364153,362041,378484,449799,442474,410075,372950,363217,346765,370274,336863,289442,211526,131069,82872,93428,2862153,2822773
Connecticut,182708,192321,221648,241286,243381,222305,221612,213964,212133,233980,259206,267164,243375,193132,152275,103353,72556,94150,1741688,1828861
Delaware,54774,55329,59081,60143,58482,66200,62526,56984,54989,57853,64029,68761,66504,61528,47443,33937,20273,18843,467720,499959
District of Columbia,44913,35069,30443,36863,52700,83125,80773,61879,44118,38775,37072,36289,34043,28175,21256,15324,9887,11270,333137,368837
Florida,1133390,1133024,1221553,1209024,1264607,1410790,1355701,1303984,1263774,1336668,1397101,1467493,1371903,1296374,1097330,826093,549971,578144,10374594,10842330
Georgia,652085,682719,734671,735465,715214,754957,708753,707148,677066,708864,695273,679398,605605,509703,388897,257396,156140,147225,5113936,5402643
Hawaii,88179,84349,83438,76036,91649,103408,99310,94153,85949,85282,86101,90656,90357,85461,62589,42927,29901,40329,712250,707824
Idaho,114332,123732,129697,124202,117060,117033,112615,116739,105107,101652,99657,108611,106186,96201,72376,49117,31117,28933,879763,874604
Illinois,755518,768804,829779,831088,844275,896223,867606,839805,798895,812261,824731,864033,792720,655217,491424,340718,232299,270768,6247083,6469081
Indiana,418127,432745,447994,458933,472914,453403,423756,426145,398193,415862,424427,451408,422160,355703,260233,180165,118236,136489,3300350,3396543
Iowa,195462,202924,207247,212565,226949,201775,195016,203311,177959,181224,191452,212619,204107,172294,128316,90789,66645,79357,1564436,1585575
Kansas,188853,198299,199871,199839,213767,194276,188104,187801,169515,166116,171882,190126,183253,153288,110071,76878,53959,66721,1451919,1460700
Kentucky,273575,275013,287569,289726,301578,303963,277893,278142,274421,283478,291770,305841,289055,249468,187814,129196,85062,78388,2196522,2265430
Louisiana,304900,298471,312848,297473,311404,339728,326103,315821,271441,274557,288735,306299,297292,247382,184434,127598,80421,79709,2276932,2387684
Maine,63988,69048,72211,78076,75117,80364,80556,77768,76088,85408,94872,106687,104075,94309,70157,46261,31420,34420,656628,684197
Maryland,363618,368569,380896,381735,378108,412930,416473,407787,368271,394935,422366,426651,384410,312138,234616,160527,105809,117785,2925644,3111980
Massachusetts,358030,362203,395058,453990,488391,502183,482023,431901,409812,440331,477200,491047,444268,368510,284983,188503,129549,165021,3335992,3537011
Michigan,568326,584830,620965,653867,692245,681417,607208,597347,568240,625249,663337,711025,687010,574807,432985,290291,193922,220836,4911965,5061942
Minnesota,351104,361714,369207,358262,357441,375462,384571,377006,333979,335125,357152,394447,357120,297786,213341,150090,103849,122510,2789017,2811149
Mississippi,185274,191951,208237,208127,205134,202813,183312,194053,177339,182480,185467,194067,189311,159577,123367,85578,54067,51681,1443708,1538127
Missouri,371046,374685,397010,396255,408372,419089,399955,389985,355804,367006,385639,425835,400095,335264,260506,184132,123437,130045,3004001,3120159
Montana,61338,62765,66123,64483,72308,69366,67159,66486,61183,58943,61665,74216,77551,68600,51184,35767,21283,21285,534128,527577
Nebraska,130742,132038,134239,131348,135919,127694,127747,128409,111203,108482,111990,121405,120579,100060,71827,50033,37122,42989,959677,964149
Nevada,184141,188497,200113,181129,182581,225061,218691,206217,196878,199256,194479,196759,178459,163738,131291,87253,50385,45353,1520196,1510085
New Hampshire,63677,69106,76652,85727,88920,85407,83760,77839,77666,88925,100883,111648,99892,83877,63716,40968,26669,29912,671802,683442
New Jersey,518349,531590,560366,556125,549487,573585,571704,580195,555976,599016,634130,640553,571404,457935,357768,251342,171647,204246,4341123,4544295
New Mexico,122993,132557,144248,139238,142687,144190,138706,133699,120474,117993,122529,137027,135780,122972,94647,62670,42831,41780,1038007,1059014
New York,1140669,1089889,1147406,1192954,1294774,1472472,1392886,1260649,1168308,1233246,1315467,1343949,1240478,1024828,794213,551826,385846,464989,9474184,10040665
North Carolina,605299,626765,669516,689913,697961,720828,669998,652716,651874,688885,683046,691841,649231,567045,444971,296887,189192,190259,5052667,5333560
North Dakota,53408,50371,47837,47973,63280,60455,55001,48616,41968,39175,41668,48052,46184,38071,26029,19609,14913,17784,389284,371110
Ohio,692983,701584,745426,763727,756589,796104,743150,713647,682186,726013,757827,826243,779175,663994,490012,345380,230586,260649,5721796,5953479
Oklahoma,259003,265409,273376,264649,275225,278620,266489,258868,234015,230707,231785,253943,238058,200863,159420,112541,76686,69685,1956617,1992725
Oregon,228314,240173,250253,246976,265800,298071,296571,289833,269574,262433,250830,264789,277797,259236,187882,122514,77278,88022,2070627,2105719
Pennsylvania,702231,717096,763272,810436,811852,861467,832349,768657,734107,794890,856709,920735,885980,751747,566107,399666,279815,337769,6269142,6525743
Rhode Island,54688,54737,59152,72211,75640,75839,70958,65814,58150,65735,73595,75847,72946,58607,44800,31488,21560,26031,514524,543274
South Carolina,291651,305738,321581,329239,330682,347963,322548,316636,299848,317173,328256,341047,338459,306839,245070,162863,99399,86525,2468682,2622835
South Dakota,60019,61397,60099,58367,59210,57849,57371,56961,47380,46808,50306,58634,58104,49918,35593,23575,17336,20409,442948,436388
Tennessee,406986,407267,435892,426381,445895,487887,443958,432531,411137,438143,442206,453526,432895,371391,291262,198338,125690,120883,3304462,3467806
Texas,1997007,2016752,2130618,2040331,2000883,2130985,2079503,2001878,1886166,1828863,1714104,1702570,1512413,1243923,922940,618302,401093,407111,14221720,14413722
Utah,248602,262299,263035,248689,260142,244528,220309,230062,202497,172373,151020,152927,145746,120407,89637,59801,42926,36239,1586950,1564289
Vermont,29038,31979,33287,42255,45692,37764,36441,36234,34595,37960,42625,47190,48408,41633,31766,20876,12764,13833,308441,315899
Virginia,508122,512328,531849,552067,573043,595787,585122,576374,534035,553415,569460,579377,524034,443243,336990,232346,153334,148432,4186543,4322815
Washington,454612,466264,461832,448114,481872,580547,566149,529679,474019,470188,463039,481184,474362,401146,305947,191489,124351,137671,3759007,3753458
West Virginia,95692,99993,105766,108625,113481,111330,103141,106231,110928,115509,118164,126218,132102,123153,90434,65427,40809,40423,893743,913683
Wisconsin,331066,350727,368898,377618,396548,371411,364148,371790,334353,350967,387482,429759,389409,327383,246354,160337,115496,133229,2889783,2917192
Wyoming,35436,38926,38556,36630,38981,38816,39732,38733,34623,33016,33334,39328,39671,34006,24508,17030,10024,9998,296280,285068
Puerto Rico,130964,162558,193912,211965,224949,219540,188607,194697,206148,208003,217952,215654,213487,191107,173644,130673,90327,81455,1546590,1709052
