Name,Total Population Under 5 years,Total Population 5 to 9 years,Total Population 10 to 14 years,Total Population 15 to 19 years,Total Population 20 to 24 years,Total Population 25 to 29 years,Total Population 30 to 34 years,Total Population 35 to 39 years,Total Population 40 to 44 years,Total Population 45 to 49 years,Total Population 50 to 54 years,Total Population 55 to 59 years,Total Population 60 to 64 years,Total Population 65 to 69 years,Total Population 70 to 74 years,Total Population 75 to 79 years,Total Population 80 to 84 years,Total Population 85 years and over,Total Male Population,Total Female Population
Alabama,290091,298540,337730,338347,323961,314216,319367,311035,326605,301406,316964,333592,342214,290906,249317,159256,104574,81756,2445896,2593981
Alaska,46198,52071,52507,50263,45855,54764,57577,54876,48079,40154,42306,42971,46642,40782,26509,16406,8004,6709,383121,349552
Arizona,402255,446309,476245,482998,488212,502697,497839,469845,445579,418914,431427,423315,456696,410229,374138,265066,156443,128109,3629620,3646696
Arkansas,179924,196276,204485,206963,200480,184424,200352,197315,186669,175303,181449,195773,191325,166826,147804,99185,59497,51841,1493681,1532210
California,2210235,2358988,2647372,2579680,2531692,2825980,3001889,2792703,2621983,2430082,2498846,2446661,2327199,1952796,1616408,1036547,680328,678447,19618934,19618902
Colorado,307837,336492,374046,375792,373720,439344,461953,445042,405251,357983,351748,340066,362628,309899,249243,143955,95138,81932,2943037,2869032
Connecticut,177577,196796,212689,244686,239473,224162,226701,230281,220845,213768,248669,257827,262951,211323,168116,112747,73716,83270,1768045,1837552
Delaware,53039,58410,59908,63288,57635,61340,67224,60297,61791,53748,61552,67381,76220,71345,54062,35379,21804,18961,485908,517476
District of Columbia,40809,35833,33735,35516,45383,70043,75836,61807,49092,35551,34592,32661,33577,26985,23546,16645,8061,10378,319025,351025
Florida,1091954,1146199,1291404,1245029,1244420,1312400,1426141,1358417,1370445,1312755,1404353,1468809,1509806,1351351,1241909,900486,572496,532754,10714520,11066608
Georgia,625969,665082,777105,771330,725809,726782,738064,733823,714545,687681,711163,679360,657166,543530,453411,279012,170344,139390,5270144,5529422
Hawaii,81220,83657,91875,76899,86215,96005,101762,99493,91400,82070,87290,88407,92693,86029,76527,55817,28574,35620,725604,715949
Idaho,113051,129930,142097,138443,119836,119505,126935,127071,126363,110707,105735,109604,117636,105806,88739,57500,31635,30330,954313,946610
Illinois,703551,786184,805013,843352,802672,846637,858792,864721,819718,773218,812897,820153,831252,690107,572936,369334,241987,228945,6264364,6407105
Indiana,408030,427997,469282,472765,468280,445427,437298,440068,431664,402083,415981,423628,447903,377400,307386,191286,122514,116993,3374931,3431054
Iowa,187257,201486,216296,225888,224891,198276,192531,210687,198279,171706,183760,194787,219654,186344,152381,94367,65432,69057,1603267,1589812
Kansas,177567,192659,209418,209868,202937,188331,188200,204939,174046,161572,165301,175846,194222,160336,134213,81974,57412,55741,1474610,1459972
